2015-04-25 09:28:56,274 [INFO ] org.springframework.web.context.ContextLoader  - Root WebApplicationContext: initialization started
2015-04-25 09:28:56,415 [DEBUG] org.springframework.beans.factory.xml.PluggableSchemaResolver  - Loaded schema mappings: {http://www.springframework.org/schema/util/spring-util.xsd=org/springframework/beans/factory/xml/spring-util-3.1.xsd, http://www.springframework.org/schema/mvc/spring-mvc-3.1.xsd=org/springframework/web/servlet/config/spring-mvc-3.1.xsd, http://www.springframework.org/schema/task/spring-task.xsd=org/springframework/scheduling/config/spring-task-3.1.xsd, http://www.springframework.org/schema/beans/spring-beans-3.1.xsd=org/springframework/beans/factory/xml/spring-beans-3.1.xsd, http://www.springframework.org/schema/cache/spring-cache.xsd=org/springframework/cache/config/spring-cache-3.1.xsd, http://www.springframework.org/schema/aop/spring-aop-3.0.xsd=org/springframework/aop/config/spring-aop-3.0.xsd, http://www.springframework.org/schema/aop/spring-aop-2.0.xsd=org/springframework/aop/config/spring-aop-2.0.xsd, http://www.springframework.org/schema/task/spring-task-3.1.xsd=org/springframework/scheduling/config/spring-task-3.1.xsd, http://www.springframework.org/schema/tool/spring-tool-2.5.xsd=org/springframework/beans/factory/xml/spring-tool-2.5.xsd, http://www.springframework.org/schema/beans/spring-beans.xsd=org/springframework/beans/factory/xml/spring-beans-3.1.xsd, http://www.springframework.org/schema/jee/spring-jee-2.5.xsd=org/springframework/ejb/config/spring-jee-2.5.xsd, http://www.springframework.org/schema/jdbc/spring-jdbc-3.1.xsd=org/springframework/jdbc/config/spring-jdbc-3.1.xsd, http://www.springframework.org/schema/tool/spring-tool-3.1.xsd=org/springframework/beans/factory/xml/spring-tool-3.1.xsd, http://www.springframework.org/schema/aop/spring-aop.xsd=org/springframework/aop/config/spring-aop-3.1.xsd, http://www.springframework.org/schema/jee/spring-jee-3.1.xsd=org/springframework/ejb/config/spring-jee-3.1.xsd, http://www.springframework.org/schema/beans/spring-beans-2.0.xsd=org/springframework/beans/factory/xml/spring-beans-2.0.xsd, http://www.springframework.org/schema/mvc/spring-mvc-3.0.xsd=org/springframework/web/servlet/config/spring-mvc-3.0.xsd, http://www.springframework.org/schema/beans/spring-beans-3.0.xsd=org/springframework/beans/factory/xml/spring-beans-3.0.xsd, http://www.springframework.org/schema/task/spring-task-3.0.xsd=org/springframework/scheduling/config/spring-task-3.0.xsd, http://www.springframework.org/schema/tx/spring-tx-2.5.xsd=org/springframework/transaction/config/spring-tx-2.5.xsd, http://www.springframework.org/schema/context/spring-context-2.5.xsd=org/springframework/context/config/spring-context-2.5.xsd, http://www.springframework.org/schema/jdbc/spring-jdbc-3.0.xsd=org/springframework/jdbc/config/spring-jdbc-3.0.xsd, http://www.springframework.org/schema/tool/spring-tool-3.0.xsd=org/springframework/beans/factory/xml/spring-tool-3.0.xsd, http://www.springframework.org/schema/lang/spring-lang.xsd=org/springframework/scripting/config/spring-lang-3.1.xsd, http://www.springframework.org/schema/tx/spring-tx.xsd=org/springframework/transaction/config/spring-tx-3.1.xsd, http://www.springframework.org/schema/tool/spring-tool-2.0.xsd=org/springframework/beans/factory/xml/spring-tool-2.0.xsd, http://www.springframework.org/schema/util/spring-util-2.5.xsd=org/springframework/beans/factory/xml/spring-util-2.5.xsd, http://www.springframework.org/schema/lang/spring-lang-2.5.xsd=org/springframework/scripting/config/spring-lang-2.5.xsd, http://www.springframework.org/schema/jee/spring-jee-3.0.xsd=org/springframework/ejb/config/spring-jee-3.0.xsd, http://www.springframework.org/schema/jee/spring-jee-2.0.xsd=org/springframework/ejb/config/spring-jee-2.0.xsd, http://www.springframework.org/schema/tx/spring-tx-3.1.xsd=org/springframework/transaction/config/spring-tx-3.1.xsd, http://www.springframework.org/schema/context/spring-context-3.1.xsd=org/springframework/context/config/spring-context-3.1.xsd, http://www.springframework.org/schema/util/spring-util-3.1.xsd=org/springframework/beans/factory/xml/spring-util-3.1.xsd, http://www.springframework.org/schema/lang/spring-lang-3.1.xsd=org/springframework/scripting/config/spring-lang-3.1.xsd, http://www.springframework.org/schema/cache/spring-cache-3.1.xsd=org/springframework/cache/config/spring-cache-3.1.xsd, http://www.springframework.org/schema/context/spring-context.xsd=org/springframework/context/config/spring-context-3.1.xsd, http://www.springframework.org/schema/jee/spring-jee.xsd=org/springframework/ejb/config/spring-jee-3.1.xsd, http://www.springframework.org/schema/aop/spring-aop-2.5.xsd=org/springframework/aop/config/spring-aop-2.5.xsd, http://www.springframework.org/schema/mvc/spring-mvc.xsd=org/springframework/web/servlet/config/spring-mvc-3.1.xsd, http://www.springframework.org/schema/jdbc/spring-jdbc.xsd=org/springframework/jdbc/config/spring-jdbc-3.1.xsd, http://www.springframework.org/schema/aop/spring-aop-3.1.xsd=org/springframework/aop/config/spring-aop-3.1.xsd, http://www.springframework.org/schema/tx/spring-tx-2.0.xsd=org/springframework/transaction/config/spring-tx-2.0.xsd, http://www.springframework.org/schema/tx/spring-tx-3.0.xsd=org/springframework/transaction/config/spring-tx-3.0.xsd, http://www.springframework.org/schema/context/spring-context-3.0.xsd=org/springframework/context/config/spring-context-3.0.xsd, http://www.springframework.org/schema/tool/spring-tool.xsd=org/springframework/beans/factory/xml/spring-tool-3.1.xsd, http://www.springframework.org/schema/util/spring-util-3.0.xsd=org/springframework/beans/factory/xml/spring-util-3.0.xsd, http://www.springframework.org/schema/lang/spring-lang-3.0.xsd=org/springframework/scripting/config/spring-lang-3.0.xsd, http://www.springframework.org/schema/util/spring-util-2.0.xsd=org/springframework/beans/factory/xml/spring-util-2.0.xsd, http://www.springframework.org/schema/lang/spring-lang-2.0.xsd=org/springframework/scripting/config/spring-lang-2.0.xsd, http://www.springframework.org/schema/beans/spring-beans-2.5.xsd=org/springframework/beans/factory/xml/spring-beans-2.5.xsd}
2015-04-25 09:28:56,415 [DEBUG] org.springframework.beans.factory.xml.PluggableSchemaResolver  - Found XML schema [http://www.springframework.org/schema/beans/spring-beans.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-3.1.xsd
2015-04-25 09:28:56,430 [DEBUG] org.springframework.beans.factory.xml.PluggableSchemaResolver  - Found XML schema [http://www.springframework.org/schema/context/spring-context-3.1.xsd] in classpath: org/springframework/context/config/spring-context-3.1.xsd
2015-04-25 09:28:56,430 [DEBUG] org.springframework.beans.factory.xml.PluggableSchemaResolver  - Found XML schema [http://www.springframework.org/schema/tool/spring-tool-3.1.xsd] in classpath: org/springframework/beans/factory/xml/spring-tool-3.1.xsd
2015-04-25 09:28:56,446 [DEBUG] org.springframework.beans.factory.xml.PluggableSchemaResolver  - Found XML schema [http://www.springframework.org/schema/cache/spring-cache-3.1.xsd] in classpath: org/springframework/cache/config/spring-cache-3.1.xsd
2015-04-25 09:28:56,446 [DEBUG] org.springframework.beans.factory.xml.PluggableSchemaResolver  - Found XML schema [http://www.springframework.org/schema/tx/spring-tx-3.1.xsd] in classpath: org/springframework/transaction/config/spring-tx-3.1.xsd
2015-04-25 09:28:56,446 [DEBUG] org.springframework.beans.factory.xml.PluggableSchemaResolver  - Found XML schema [http://www.springframework.org/schema/aop/spring-aop-3.1.xsd] in classpath: org/springframework/aop/config/spring-aop-3.1.xsd
2015-04-25 09:28:56,462 [DEBUG] org.springframework.beans.factory.xml.DefaultBeanDefinitionDocumentReader  - Loading bean definitions
2015-04-25 09:28:56,462 [DEBUG] org.springframework.beans.factory.xml.DefaultNamespaceHandlerResolver  - Loaded NamespaceHandler mappings: {http://www.springframework.org/schema/p=org.springframework.beans.factory.xml.SimplePropertyNamespaceHandler, http://www.springframework.org/schema/mvc=org.springframework.web.servlet.config.MvcNamespaceHandler, http://www.springframework.org/schema/util=org.springframework.beans.factory.xml.UtilNamespaceHandler, http://www.springframework.org/schema/jee=org.springframework.ejb.config.JeeNamespaceHandler, http://www.springframework.org/schema/aop=org.springframework.aop.config.AopNamespaceHandler, http://www.springframework.org/schema/jdbc=org.springframework.jdbc.config.JdbcNamespaceHandler, http://www.springframework.org/schema/cache=org.springframework.cache.config.CacheNamespaceHandler, http://www.springframework.org/schema/c=org.springframework.beans.factory.xml.SimpleConstructorNamespaceHandler, http://www.springframework.org/schema/tx=org.springframework.transaction.config.TxNamespaceHandler, http://www.springframework.org/schema/task=org.springframework.scheduling.config.TaskNamespaceHandler, http://www.springframework.org/schema/lang=org.springframework.scripting.config.LangNamespaceHandler, http://www.springframework.org/schema/context=org.springframework.context.config.ContextNamespaceHandler}
2015-04-25 09:28:56,477 [DEBUG] org.springframework.core.env.StandardEnvironment  - Initializing new StandardEnvironment
2015-04-25 09:28:56,477 [DEBUG] org.springframework.core.env.StandardEnvironment  - Adding [systemProperties] PropertySource with lowest search precedence
2015-04-25 09:28:56,477 [DEBUG] org.springframework.core.env.StandardEnvironment  - Adding [systemEnvironment] PropertySource with lowest search precedence
2015-04-25 09:28:56,477 [DEBUG] org.springframework.core.env.StandardEnvironment  - Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
2015-04-25 09:28:56,477 [INFO ] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - JSR-330 'javax.inject.Named' annotation found and supported for component scanning
2015-04-25 09:28:56,477 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in directory tree [E:\myproject\jobs_web\target\classes\com\heike]
2015-04-25 09:28:56,477 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,477 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\base] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\dao] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\domain] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\domain\dto] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\domain\pojo] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\domain\service] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\domain\vo] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\interceptor] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\service] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\util] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\web] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\web\admin] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\web\employer] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Searching directory [E:\myproject\jobs_web\target\classes\com\heike\web\student] for files matching pattern [E:/myproject/jobs_web/target/classes/com/heike/**/*.class]
2015-04-25 09:28:56,493 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Resolved location pattern [classpath*:com/heike/**/*.class] to resources [file [E:\myproject\jobs_web\target\classes\com\heike\base\HibernateDao.class], file [E:\myproject\jobs_web\target\classes\com\heike\base\SysCode$DictCode.class], file [E:\myproject\jobs_web\target\classes\com\heike\base\SysCode$EmployerCode.class], file [E:\myproject\jobs_web\target\classes\com\heike\base\SysCode$EmployerStudent.class], file [E:\myproject\jobs_web\target\classes\com\heike\base\SysCode$RecruitCode.class], file [E:\myproject\jobs_web\target\classes\com\heike\base\SysCode$RecruitStudent.class], file [E:\myproject\jobs_web\target\classes\com\heike\base\SysCode$SalaryStatus.class], file [E:\myproject\jobs_web\target\classes\com\heike\base\SysCode$UserStatus.class], file [E:\myproject\jobs_web\target\classes\com\heike\base\SysCode.class], file [E:\myproject\jobs_web\target\classes\com\heike\dao\DictDao.class], file [E:\myproject\jobs_web\target\classes\com\heike\dao\EmployerDao.class], file [E:\myproject\jobs_web\target\classes\com\heike\dao\EmpStuDao.class], file [E:\myproject\jobs_web\target\classes\com\heike\dao\RecruitDao.class], file [E:\myproject\jobs_web\target\classes\com\heike\dao\RecruitStuDao.class], file [E:\myproject\jobs_web\target\classes\com\heike\dao\SalaryDao.class], file [E:\myproject\jobs_web\target\classes\com\heike\dao\StudentDao.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\dto\ApplyDto.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\dto\ApproveDto.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\dto\DownloadDto.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\dto\EmployerDto.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\dto\EmpQueryStudent.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\dto\Pager.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\dto\RecruitQueryDto.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\dto\SalaryDto.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\dto\SalaryQueryDto.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\dto\StudentDto.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\pojo\Dict.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\pojo\Employer.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\pojo\EmpStu.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\pojo\Recruit.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\pojo\RecruitStu.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\pojo\Salary.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\pojo\Student.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\service\AdminService.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\service\CommonService.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\service\DictService.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\service\EmployerService.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\service\RecruitService.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\service\SalaryService.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\service\StudentService.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\vo\ApplyRecordVO.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\vo\ApplyRecruitVO.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\vo\EmployerStudentVO.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\vo\RecruitStuVO.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\vo\RecruitVO.class], file [E:\myproject\jobs_web\target\classes\com\heike\domain\vo\StudentVO.class], file [E:\myproject\jobs_web\target\classes\com\heike\interceptor\AdminInterceptor.class], file [E:\myproject\jobs_web\target\classes\com\heike\interceptor\EmployerInterceptor.class], file [E:\myproject\jobs_web\target\classes\com\heike\interceptor\StudentInterceptor.class], file [E:\myproject\jobs_web\target\classes\com\heike\interceptor\UserInterceptor.class], file [E:\myproject\jobs_web\target\classes\com\heike\service\AdminServiceImpl.class], file [E:\myproject\jobs_web\target\classes\com\heike\service\CommonServiceImpl.class], file [E:\myproject\jobs_web\target\classes\com\heike\service\DictServiceImpl.class], file [E:\myproject\jobs_web\target\classes\com\heike\service\EmployerServiceImpl.class], file [E:\myproject\jobs_web\target\classes\com\heike\service\RecruitServiceImpl.class], file [E:\myproject\jobs_web\target\classes\com\heike\service\SalaryServiceImpl.class], file [E:\myproject\jobs_web\target\classes\com\heike\service\StudentServiceImpl.class], file [E:\myproject\jobs_web\target\classes\com\heike\util\DateUtils.class], file [E:\myproject\jobs_web\target\classes\com\heike\util\EncryptUtil.class], file [E:\myproject\jobs_web\target\classes\com\heike\util\ExcelUtil.class], file [E:\myproject\jobs_web\target\classes\com\heike\web\admin\AdminController.class], file [E:\myproject\jobs_web\target\classes\com\heike\web\CommonController.class], file [E:\myproject\jobs_web\target\classes\com\heike\web\employer\EmployerController.class], file [E:\myproject\jobs_web\target\classes\com\heike\web\IndexController.class], file [E:\myproject\jobs_web\target\classes\com\heike\web\student\StudentController.class]]
2015-04-25 09:28:56,508 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\dao\DictDao.class]
2015-04-25 09:28:56,508 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\dao\EmployerDao.class]
2015-04-25 09:28:56,508 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\dao\EmpStuDao.class]
2015-04-25 09:28:56,524 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\dao\RecruitDao.class]
2015-04-25 09:28:56,524 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\dao\RecruitStuDao.class]
2015-04-25 09:28:56,524 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\dao\SalaryDao.class]
2015-04-25 09:28:56,524 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\dao\StudentDao.class]
2015-04-25 09:28:56,524 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\service\AdminServiceImpl.class]
2015-04-25 09:28:56,524 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\service\CommonServiceImpl.class]
2015-04-25 09:28:56,540 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\service\DictServiceImpl.class]
2015-04-25 09:28:56,540 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\service\EmployerServiceImpl.class]
2015-04-25 09:28:56,540 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\service\RecruitServiceImpl.class]
2015-04-25 09:28:56,540 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\service\SalaryServiceImpl.class]
2015-04-25 09:28:56,540 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\service\StudentServiceImpl.class]
2015-04-25 09:28:56,540 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\web\admin\AdminController.class]
2015-04-25 09:28:56,540 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\web\CommonController.class]
2015-04-25 09:28:56,540 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\web\employer\EmployerController.class]
2015-04-25 09:28:56,540 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\web\IndexController.class]
2015-04-25 09:28:56,555 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\myproject\jobs_web\target\classes\com\heike\web\student\StudentController.class]
2015-04-25 09:28:56,571 [DEBUG] org.springframework.beans.factory.xml.BeanDefinitionParserDelegate  - Neither XML 'id' nor 'name' specified - using generated bean name [org.springframework.beans.factory.config.PreferencesPlaceholderConfigurer#0]
2015-04-25 09:28:56,586 [DEBUG] org.springframework.beans.factory.xml.XmlBeanDefinitionReader  - Loaded 37 bean definitions from location pattern [classpath*:spring/applicationContext.xml]
2015-04-25 09:28:56,586 [DEBUG] org.springframework.web.context.support.XmlWebApplicationContext  - Bean factory for Root WebApplicationContext: org.springframework.beans.factory.support.DefaultListableBeanFactory@1d9d7be: defining beans [dictDao,employerDao,empStuDao,recruitDao,recruitStuDao,salaryDao,studentDao,adminServiceImpl,commonServiceImpl,dictServiceImpl,employerServiceImpl,recruitServiceImpl,salaryServiceImpl,studentServiceImpl,adminController,commonController,employerController,indexController,studentController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.cache.annotation.AnnotationCacheOperationSource#0,org.springframework.cache.interceptor.CacheInterceptor#0,org.springframework.cache.config.internalCacheAdvisor,ehCacheManager,cacheManager,org.springframework.beans.factory.config.PreferencesPlaceholderConfigurer#0,dataSource,sessionFactory,transactionManager,txAdvice,txPointcut,org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0]; root of factory hierarchy
2015-04-25 09:28:56,618 [DEBUG] org.springframework.beans.factory.support.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2015-04-25 09:28:56,618 [DEBUG] org.springframework.beans.factory.support.DefaultListableBeanFactory  - Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2015-04-25 09:28:56,618 [DEBUG] org.springframework.beans.factory.support.DefaultListableBeanFactory  - Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references
2015-04-25 09:28:56,618 [DEBUG] org.springframework.beans.factory.support.DefaultListableBeanFactory  - Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2015-04-25 09:28:56,664 [DEBUG] org.springframework.beans.factory.support.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.beans.factory.config.PreferencesPlaceholderConfigurer#0'
2015-04-25 09:28:56,664 [DEBUG] org.springframework.beans.factory.support.DefaultListableBeanFactory  - Creating instance of bean 'org.springframework.beans.factory.config.PreferencesPlaceholderConfigurer#0'
